,title,platform,score,genre,release_year
0,LittleBigPlanet PS Vita,PSP/Vita,"(8, 9]",Platformer,2012
1,LittleBigPlanet PS Vita -- Marvel Super Hero Edition,PSP/Vita,"(8, 9]",Platformer,2012
2,Splice: Tree of Life,iPad,"(8, 9]",Puzzle,2012
3,NHL 13,"Xbox (360,One)","(8, 9]",Sports,2012
4,NHL 13,PlayStation (1-4),"(8, 9]",Sports,2012
6,Double Dragon: Neon,"Xbox (360,One)","(2, 3]",Fighting,2012
7,Guild Wars 2,PC,"(8, 9]",RPG,2012
8,Double Dragon: Neon,PlayStation (1-4),"(2, 3]",Fighting,2012
9,Total War Battles: Shogun,PC,"(6, 7]",Strategy,2012
10,Tekken Tag Tournament 2,PlayStation (1-4),"(7, 8]",Fighting,2012
11,Tekken Tag Tournament 2,"Xbox (360,One)","(7, 8]",Fighting,2012
13,Mark of the Ninja,"Xbox (360,One)","(8, 9]",Action,2012
14,Mark of the Ninja,PC,"(8, 9]",Action,2012
16,Home: A Unique Horror Adventure,PC,"(6, 7]",Adventure,2012
17,Avengers Initiative,Mobile,"(7, 8]",Action,2012
18,Way of the Samurai 4,PlayStation (1-4),"(5, 6]",Action,2012
19,JoJo's Bizarre Adventure HD,"Xbox (360,One)","(6, 7]",Fighting,2012
20,JoJo's Bizarre Adventure HD,PlayStation (1-4),"(6, 7]",Fighting,2012
21,Mass Effect 3: Leviathan,"Xbox (360,One)","(7, 8]",RPG,2012
22,Mass Effect 3: Leviathan,PlayStation (1-4),"(7, 8]",RPG,2012
23,Mass Effect 3: Leviathan,PC,"(7, 8]",RPG,2012
24,Dark Souls (Prepare to Die Edition),PC,"(8, 9]",Action,2012
25,Symphony,PC,"(6, 7]",Shooter,2012
26,Bastion,iPad,"(8, 9]",Action,2012
27,Tom Clancy's Ghost Recon Phantoms,PC,"(7, 8]",Shooter,2012
28,Thirty Flights of Loving,PC,"(7, 8]",Adventure,2012
29,Legasista,PlayStation (1-4),"(6, 7]",Action,2012
31,World of Warcraft: Mists of Pandaria,PC,"(8, 9]",RPG,2012
32,Hell Yeah! Wrath of the Dead Rabbit,PlayStation (1-4),"(4, 5]",Platformer,2012
33,Pokemon White Version 2,DS/3DS/DSi,"(9, 10]",RPG,2012
34,War of the Roses,PC,"(7, 8]",Action,2012
